Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
310408,Airplane,INCHEON INTL,< 1000 ft,MD-11,1,1,Precautionary Landing,2010-04-03,Caused damage,3,FEDEX EXPRESS,,Climb,,False,False,"DMG TO #1 ENG, RADOME AND WEATHER RADAR.  REMOVED AND REPLACED #1 ENG. EST COST TO REPLACE PARTS WAS $434612. EST COST OF LABOR WAS $2925. EST COST FOR A/C OUT OF SERV AND CANCELLATION OF FLT WAS $100000. TOTAL EST COST FOR REPAIRS WAS $537537.",Large,No Cloud,Unknown bird - large,Y,459491,400.0,0,No
301529,Airplane,REDDING MUNICIPAL,> 1000 ft,BE-200 KING,1,1,Precautionary Landing,2010-04-03,Caused damage,2,PHI INC,California,Approach,,False,False,"REPORTED A BIRDSTRIKE ON 4-MILE FINAL. BIRD WENT THRU RADOME, DAMAGING THE RADAR SYSTEM. DUCK OR GOOSE.",Medium,No Cloud,Unknown bird - medium,N,0,1250.0,0,No
301015,Airplane,PHOENIX SKY HARBOR,< 1000 ft,B-737-800,1,1,Precautionary Landing,2010-04-03,Caused damage,2,ALASKA AIRLINES,Arizona,Take-off run,,True,True,"ID BY SMITHSONIAN, FAA 4199. PEREGRINE FALCON - WHOLE FEATHER, AND MOURNING DOVE - DNA. PILOT REPORTED STRIKE ON ROTATION. CONTD WITH TAKE OFF BUT AT 10,000 FEET REPTD SEVERE VIBRATION IN ENG. RETD TO LAND W/O INCIDENT.",Medium,No Cloud,Peregrine falcon,N,20534,0.0,0,Yes
301449,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,EMB-145,1,1,Aborted Take-off,2010-04-12,No damage,2,FREEDOM AIRLINES,Kentucky,Take-off run,,True,False,CARCASS COLLECTED BY ARFF. PILOT REPTD STRIKE. A/C TAXIED BACK TO GATE FOR MX TO CLEAR ANY SIGNS OF DMG. NO DMG.,Medium,No Cloud,Red-tailed hawk,Y,0,0.0,0,No
301831,Airplane,VICKSBURG TALLULAH REGIONAL ARPT,< 1000 ft,BE-90  KING,1,1,Aborted Take-off,2010-04-13,No damage,2,BUSINESS,Mississippi,Take-off run,,False,False,HIT  SML BIRD DURING T/O ROLL. IMMEDIATELY ABORTED T/O AND RETURNED TO RAMP FOR INSPN. NO VISIBLE SIGNS OF DAMAGE FOUND.,Small,No Cloud,Killdeer,N,0,0.0,0,No
301839,Airplane,BURKE LAKEFRONT,< 1000 ft,BE-400 BJET,1,1,Aborted Take-off,2010-04-16,Caused damage,2,BUSINESS,Ohio,Take-off run,,True,False,OPS AGENT CONDUCTED PYROTECHNIC HARRASSMENT 10 MINUTES PRIOR TO STRIKE. BIRD STRUCK TOP OF NACELLE AND DEFLECTED INTO RT ENG. ARPT OPS AGNT RECOVERED ONE LEG AND ONE WING FROM RWY. ENG A TOTAL LOSS.,Medium,No Cloud,Ring-billed gull,Y,231010,0.0,0,No
301175,Airplane,TETERBORO AIRPORT,< 1000 ft,DA-50 FALCON,1,1,Precautionary Landing,2010-04-16,Caused damage,3,BUSINESS,New Jersey,Take-off run,,True,True,"ID BY SMITHSONIAN, FAA 4257. DNA. DEPARTING RWY 1. T/O WAS NORMAL UNTIL ROTATION WHEN WE INGESTED A MED SIZED BIRD INTO THE #2 ENG. CONTD T/O AND CLIMBED TO A SAFE ALTITUDE EXPERIENCING ENG VIBRATIONS AND THRUST REVERSER UNLOCK INDICATIONS. COMPLETED EMER",Small,Overcast,American robin,Y,65828,0.0,0,No
301895,Airplane,WARREN FIELD ARPT,< 1000 ft,PA-28,1,1,Precautionary Landing,2010-04-21,Caused damage,1,BUSINESS,North Carolina,Take-off run,,True,False,"DMG CAUSED TO LE OF RT WING AT THE ROOT. DENT OF ABOUT 4"" WITHIN THE WING. RT FUEL TANK PERFORATED. RT MAIN GEAR IMPACTED BUT SLIGHTLY DMGED.",Large,Overcast,White-tailed deer,Y,25668,0.0,0,No
301909,Airplane,BALTIMORE WASH INTL,> 1000 ft,B-737-300,1,1,Precautionary Landing,2010-04-24,No damage,2,SOUTHWEST AIRLINES,Maryland,Climb,,False,False,RETURN TO KBWI. LOCATION OF STRIKE REPTD AS 5-10 MILES SE OF BWI. ABOVE RT WINDSHIELD. NO SNARGE COLLECTED.,Medium,Some Cloud,Unknown bird - medium,Y,0,3150.0,0,Yes
301906,Airplane,OGDEN-HINCKLEY ARPT,> 1000 ft,PA-28,1,1,Precautionary Landing,2010-04-24,Caused damage,1,PRIVATELY OWNED,Utah,Descent,,False,False,"STRUCK TOP OF FUSELAGE. DMG TO SKIN, SUPPORTING BULKHEAD, ELT ANTENNA. PHOTO. LOCATION REPTD AS 8NM NNE OF ARPT.",Large,No Cloud,Unknown bird - large,N,6468,4500.0,0,No
301854,Airplane,ADAMS FIELD ARPT,> 1000 ft,CL-RJ100/200,1,1,Other,2010-04-30,No damage,2,SKYWEST AIRLINES,Arkansas,Descent,,True,False,FLT REPTD STRIKE ENROUTE TO ARPT. APPROX 30 MILES NE OF KLIT. DATA ENTRY NOTE: REMAINS CHECKED AS BEING SENT TO SMITHSONIAN BUT DID NOT RECEIVE THEM.,Medium,Overcast,Unknown bird - medium,Y,0,7500.0,0,No
301285,Airplane,GENERAL WM J FOX AIRFIELD,< 1000 ft,BE-99,1,1,Aborted Take-off,2010-05-08,No damage,2,AMERIFLIGHT,California,Take-off run,,False,False,GULL CROSSED UT PATH. HIT LEFT PROP AND WING OTBD OF L ENG NACELLE. ABORTED T/O AND SHUTDOWN. INSPN FOUND NO APPARENT DMG. MX WAS CALLED FOR INSPN. HE FOUND NO DMG. ARPT OPS FOUND GULL WITH PART OF WING MISSING. HUMANE SOCIETY WAS DONCACTED.,Small,No Cloud,Gulls,N,0,0.0,0,No
301214,Airplane,SOUTHEAST TEXAS REGIONAL ARPT,< 1000 ft,C-421,1,1,Precautionary Landing,2010-05-12,Caused damage,2,BUSINESS,Texas,Climb,,False,False,JUST AFTER ROTATION CLIMBING THRU OVERCAST LAYER. PAX FROM BACK NOTIFIED ME AND PT TO RT ENG. ALL ENG GAUGES NORMAL BUT VISUAL OF RT ENG A HEAVY LAYER OF OIL ENVELOPING IT AND GUSHING FROM FRONT OF ENG. IMMED REQUESTED RETURN TO KBPT AND ON ROLLOUT SHUR D,Small,Overcast,Unknown bird - small,N,1130,500.0,0,No
301267,Airplane,ELEFTHERIOS VENIZELOS INTL,< 1000 ft,B-767,1,1,Precautionary Landing,2010-05-20,Caused damage,2,US AIRWAYS,,Climb,,False,False,LEFT ENG DAMAGE. WAS DESCRIBED AS 3 UPPER END FAN BLADES. ENGINE VIBRATION. DIVERTED TO FRA.,Medium,No Cloud,Gulls,Y,0,100.0,0,Yes
301956,Airplane,STEWART INTL AIRPORT,< 1000 ft,A-320,1,1,Precautionary Landing,2010-05-23,Caused damage,2,JETBLUE AIRWAYS,New York,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4368. WHOLE FEATHER. THERE WAS BLOOD AROUND THE ENTIRE INSIDE  OF LEFT COWL.  2 MALFORMED N1 BLADES.FEATHERS EMBEDDED ON  HIGH BY-PASS FAN AND  STATIC VANES ON ENG CORE. ENG EXHAUST WAS COATED BY BLOOD. ENG WAS REPLACED. PAX WERE PU",Large,Some Cloud,Canada goose,N,0,20.0,0,No
302125,Airplane,ORLANDO INTL,< 1000 ft,B-757-200,1,1,Precautionary Landing,2010-05-24,No damage,2,DELTA AIR LINES,Florida,Climb,,True,False,"NO DMG TO A/C. HEIGHT REPTD AS 100 FT AND 200 FT, TOOK AVG.",Small,No Cloud,Cattle egret,Y,0,150.0,0,Yes
302123,Airplane,NEW BEDFORD REGIONAL ARPT,< 1000 ft,C-172,1,1,Aborted Take-off,2010-05-24,Caused damage,1,BUSINESS,Massachusetts,Take-off run,,False,False,DAMAGED ANTENNA.,Large,No Cloud,Canada goose,N,0,0.0,0,No
301940,Airplane,ODESSA-SCHLEMEYER FIELD ARPT,< 1000 ft,LEARJET-25,1,1,Engine Shut Down,2010-05-25,Caused damage,2,BUSINESS,Texas,Take-off run,,False,False,"BIRD REPTD AS CEDAR WAXWING BY FBO WHO FOUND BIRD PARTS ON RWY. (DATA ENTRY NOTE: UNCERTAIN IF THIS WAS THE SPECIES THAT WENT INTO THE ENG.). AIR AMBULANCE FLT. LEFT ENG SHUT DOWN, A/C RETD TO LAND. PATIENT TRANSFERRED BACK TO HOSPITAL VIA AMBULANCE. HAD",Small,No Cloud,Unknown bird - small,N,103096,0.0,0,No
302074,Airplane,DENVER INTL AIRPORT,< 1000 ft,A-320,1,1,Precautionary Landing,2010-05-27,Caused damage,2,FRONTIER AIRLINES,Colorado,Climb,,True,True,"ID BY SMITHSONIAN, FAA 4400. DNA. DMG TO RADOME AND RADAR ANTENNA.",Medium,Some Cloud,Red-tailed hawk,Y,0,150.0,0,No
301977,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,> 1000 ft,A-319,1,1,Other,2010-05-28,No damage,2,US AIRWAYS,North Carolina,Approach,Rain,False,False,NO DMG REPTD.,Medium,Overcast,Unknown bird - medium,N,0,2500.0,0,No
302562,Airplane,BRANSON ARPT,< 1000 ft,EMB-145,1,1,Other,2010-06-05,No damage,2,EXPRESSJET (CONTINENTAL EXPRS),Missouri,Landing Roll,,True,False,NO DMG TO A/C. A/C DOWN FOR 1 HR WHILE MX CALLED TO INSPECT A/C.,Small,No Cloud,Killdeer,N,0,0.0,0,No
302468,Airplane,MIAMI INTL,> 1000 ft,B-757-200,1,1,Other,2010-06-05,Caused damage,2,AMERICAN AIRLINES,Florida,Approach,,True,True,"ID BY SMITHSONIAN, FAA 4447. DNA. FOUR SAMPLES. LOCATION WAS 6 MILES NW OF PIANA INTERSECTION. OVER THE EVERGLADES. DESCENDING THRU 3700 FT A LARGE BIRD PASSED CLOSE DOWN THE RT SIDE OF A/C. IT APPEARED THAT THERE WAS A POSIBLE IMPACT. UPONG LDG, THE RT R",Large,No Cloud,Black vulture,N,0,3700.0,0,Yes
302580,Airplane,PROVINCETOWN MUNICIPAL ARPT,< 1000 ft,C-402,1,1,Other,2010-06-21,Caused damage,2,CAPE AIR,Massachusetts,Landing Roll,,False,False,GOOSE ON RWY AS WE ROLLED OUT BIRD TOOK FLT AND IMPACTED FRWD NOSE BAGGAGE DOOR. BIRD CAUSED FRWD NOSE DOOR ZUES FASTENER TO BE DMGD. BIRD SLID ALONG NOSE OF A/C AND HIT LT WING STUB. UNKNOWN WHAT HAPPENED TO THE BIRD AFTER THAT PT. NO CARCASS FOUND ON RW,Large,No Cloud,Canada goose,N,0,0.0,0,No
302623,Airplane,SAVANNAH INTL,< 1000 ft,CL-RJ900,1,1,Other,2010-06-21,Caused damage,2,MESA AIRLINES,Georgia,Take-off run,,False,False,"2 BIRDS WERE SITTING ON CENTER OF RWY AND TRIED TO FLY THEN HIT A/C. 1 HIT STANDBY PITOT TUBE, OTHER HIT RT WING. WE LOST STALL PROTECTION AND HAD A RUDDER LIMIT FAULT ON CLIMBOUT. WE TOLD SAV TWR ABOUT THE STRIKE AND CONTD TO CLT TO CONTACT MX. (DATA ENT",Small,Some Cloud,Doves,N,0,0.0,0,No
302590,Airplane,GULFPORT BILOXI REGIONAL,< 1000 ft,CL-RJ100/200,1,1,Other,2010-06-22,No damage,2,ATLANTIC SOUTHEAST,Mississippi,Landing Roll,,True,False,EASTERN MEADOWLARK HIT WINDSHIELD. A/C DEPARTED 54 MTS LATE FOLLOWING MX INSPN THAT CLEARED A/C. PICTURES OF WINDSCREEN SHOWING IMPACT PT ATTACHED. SPOKE WITH F/O WHO STATED BIRD STRUCK RT CENTER WINDSHIELD PANEL AND HE HAD CONTACTED DELTA MX.,Small,Some Cloud,Eastern meadowlark,N,0,0.0,0,No
302637,Airplane,PENSACOLA REGIONAL,< 1000 ft,RKWL SABRLNR,1,1,Precautionary Landing,2010-06-24,No damage,2,BUSINESS,Florida,Climb,,False,False,NO VISIBLE DMG,Medium,Some Cloud,Hawks,N,0,1000.0,0,No
302673,Airplane,KAPALUA ARPT,< 1000 ft,DHC8 DASH 8,1,1,Other,2010-06-30,No damage,2,ISLAND AIR,Hawaii,Landing Roll,,True,True,"ID BY SMITHSONIAN, FAA 4504. DNA. UPON LDG, PILOT SAW 10 BIRDS FLY LFT TO RT. T LEAST 1 WENT OVER THE WINDSHLD. POST FLT INSPN FOUND STRIKE EVIDENCE ON PROP. WS TOOK DNA SWAB. A/C WAS GROUNDED FOR INSPN. NO DMG. OUT OF SERVICE 2.5 HRS.",Small,Some Cloud,Zebra dove,Y,1027,0.0,0,No
302672,Airplane,SANGSTER INTL,< 1000 ft,B-737-800,1,1,Other,2010-06-30,Caused damage,2,AMERICAN AIRLINES,,Landing Roll,,False,False,"AT TOUCHDOWN, JUST PRIOR TO NOSE WHEEL CONTACT, BIRD FLEW UP FROM LEFT TO RT IN FRONT OF NOSE. STRONG ODOR IN A/C BEGAN 10 SECONDS LATER. ALL LDG LIGHTS AND WEATHER RADAR WERE ON. ACOUSTIC LINER AND COWL WERE DAMAGED. BORESCOPE TO BE COMPLETED WITHIN 25 F",Medium,Some Cloud,Unknown bird - medium,N,0,0.0,0,Yes
304020,Airplane,PHILADELPHIA INTL,< 1000 ft,CL-RJ100/200,1,1,Aborted Take-off,2010-07-02,No damage,2,PSA AIRLINES,Pennsylvania,Take-off run,,True,False,ATIS WARNING. NO KNOWN DMG. ABORTED T/O AS A PRECAUTION. CARCASS REMVD FROM RWY AFTER STRIKE WAS REPTD TO PHL OPS.,Large,No Cloud,Osprey,Y,0,0.0,0,No
303106,Airplane,EPPLEY AIRFIELD,< 1000 ft,LEARJET-35,1,1,Aborted Take-off,2010-07-04,No damage,2,BUSINESS,Nebraska,Take-off run,Rain,False,False,BARN SWALLOW WAS INGESTED IN #2 ENG ON T/O RUN. BIRD FLEW OUT OF GRASS.,Small,Overcast,Barn swallow,Y,0,0.0,0,No
304136,Airplane,CAPITAL CITY (MI),> 1000 ft,BE-200 KING,1,1,Precautionary Landing,2010-07-11,No damage,2,GOVERNMENT,Michigan,Climb,,False,False,A/C STRUCK BIRD (REPTD AS BROWN BIRD) 2NM W OF LAN AFTER DEPARTURE.,Medium,Some Cloud,Unknown bird - medium,N,0,1500.0,0,No
304203,Airplane,DENVER INTL AIRPORT,< 1000 ft,B-737-700,1,1,Other,2010-07-13,No damage,2,SOUTHWEST AIRLINES,Colorado,Approach,,False,False,BLOOD AND FEATHERS. NO DMG. TIME OUT OF SERV = 1/2 HR.,Small,No Cloud,Unknown bird - small,Y,616,35.0,0,Yes
305477,Airplane,ALBERT LEA MUNICIPAL ARPT,< 1000 ft,PA-28,1,1,Precautionary Landing,2010-08-04,No damage,1,BUSINESS,Minnesota,Approach,,False,False,NO DMG. BIRD NOT RECVRD.,Small,Some Cloud,Rock pigeon,Y,0,50.0,0,No
304593,Airplane,GRAND FORKS INTL,< 1000 ft,C-172,1,1,Precautionary Landing,2010-08-06,Caused damage,1,BUSINESS,North Dakota,Take-off run,,True,True,ID BY SMITHSONIAN. BIRD HIT RT MAIN GEAR STRUT CAUSING MINOR DMG TO COVER. A/C LANDED AS A PRECAUTION AFTER GOING AROUND ONCE IN THE PATTERN. JUVENILE PHEASANT.,Medium,Some Cloud,Ring-necked pheasant,N,0,0.0,0,No
304597,Airplane,CLAYTON COUNTY ARPT- TARA FIELD,< 1000 ft,HAWKER 800,1,1,Precautionary Landing,2010-08-07,Caused damage,2,BUSINESS,Georgia,Take-off run,,False,False,STRIKE WAS AT ROTATION. MADE PREC LDG TO CHECK FOR DMG. BIRD HIT CO/P'S SIDE WINDOW. MINOR SCRATCHES ONLY. PHOTO OF BIRD SENT.,Large,Overcast,Canada goose,N,513,0.0,0,No
304603,Airplane,SITKA ROCKY GUTIERREZ ARPT,< 1000 ft,B-737-400,1,1,Engine Shut Down,2010-08-08,Caused damage,2,ALASKA AIRLINES,Alaska,Take-off run,Fog,True,False,A/C INGESTED AN EAGLE INTO THE LEFT ENG WHICH SHUT DOWN. LOUD BANG WAS HEARD FOLLOWED BY VIBRATIONS AND COMPRESSOR STALLS. T/O WAS ABORTED. A/C TAXIED BACK TO TERMINAL ON REMAINING ENG. PAX SAW FLAMES COMING FROM THE ENG. 2ND A/C THAT CAME TO TAKE THE  PA,Large,Overcast,Bald eagle,N,2977459,0.0,0,Yes
305603,Airplane,NEW ORLEANS INTL,< 1000 ft,B-737-300,1,1,Aborted Take-off,2010-08-09,No damage,2,SOUTHWEST AIRLINES,Louisiana,Take-off run,,False,False,SWA 637 REPTD TO MSY TOWER THAT THEY STRUCK A BIRD ON DEPT ROLL. ARPT OPS RECVRD 1 RED-TAILED HAWK 5100 FT REM RWY 28. BIRD INTACT. 02 CONTACTED SWA OPS AND ADVISED THEM THAT STRIKE WAS NOT REPTD TO THEM. NO FURTHER INFO AVAIL.,Medium,No Cloud,Red-tailed hawk,Y,0,0.0,0,Yes
304616,Airplane,ARDMORE MUNICIPAL,< 1000 ft,C-152,1,1,Other,2010-08-09,Caused damage,1,BUSINESS,Oklahoma,Approach,,True,False,"A/C HIT DEER WITH LEFT MAIN GEAR WHILE ATTEMPTING TO PULL UP OVER THE DEER ON SHORT FINAL.  MINOR DMG. COST REPTD AS LESS THAN $1,000.",Large,No Cloud,White-tailed deer,N,924,5.0,0,No
305138,Airplane,DAYTONA BEACH INTL,< 1000 ft,DIAMOND 42,1,1,Precautionary Landing,2010-08-10,No damage,2,BUSINESS,Florida,Climb,,True,True,ID BY SMITHSONIAN. A/C STRUCK SMALL BIRD SHORTLY AFTER LIFTING OFF FROM RWY 16. BIRD STRUCK PROP AND VAPORIZED.,Small,Some Cloud,Killdeer,Y,51,25.0,0,No
305614,Airplane,KISSIMMEE GATEWAY ARPT,< 1000 ft,PA-46 MALIBU,1,1,Aborted Take-off,2010-08-10,Caused damage,1,BUSINESS,Florida,Take-off run,,True,False,PILOT ABORTED FLT. DID NOT CONT WITH FLT PLAN DUE TO UNKNOWN EFFECT ON PROP.,Large,No Cloud,Sandhill crane,Y,0,0.0,0,No
305288,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-700,1,1,Precautionary Landing,2010-08-14,No damage,2,SOUTHWEST AIRLINES,California,Take-off run,,True,False,SMALL FLOCK OF BIRDS (APPROX 10) FLEW IN FRONT OF A/C JUST AT ROTATION ON T/O ROLL. ONE HIT CAPT WINDSHIELD AND FELT THAT THERE MAY HAVE BEEN MULT HITS. RETURNED TO ARPT. MX INPSN. ONLY HIT THE ONE SMALL BIRD.,Small,No Cloud,Cliff swallow,Y,0,0.0,0,Yes
305306,Airplane,WILKES-BARRE/SCRANTON INTL,< 1000 ft,PA-44 SEMINOLE,1,1,Precautionary Landing,2010-08-15,No damage,2,BUSINESS,Pennsylvania,Landing Roll,Rain,True,False,"ATCT REPTD BIRDSTRIKE BY SEMINOLE PA44. SWEPT RWY FOUND DEAD NORTHERN HARRIER ON RWY 22, 50 FT S OF TWY D. NO A/C DMG. BIRD INTACT.",Medium,Overcast,Northern harrier,N,0,0.0,0,No
304652,Airplane,PHOENIX SKY HARBOR,> 1000 ft,CL-RJ100/200,1,1,Other,2010-08-17,Caused damage,2,MESA AIRLINES,Arizona,Descent,,True,True,"ID BY SMITHSONIAN. PILOT REPTD STRIKG ABOUT 20 MILES E OF AIRPORT AT 12,000'. OPS RESPONDED TO GATE AND FOUND MAJOR DMG TO WINGLET.  PILOT SAW ABOUT 10 BIRDS OUT OF THE CORNER OF HIS EYE. A/C YAWED A LITTLE. PILO9T REPTD TO PHX APCH. PHOTOS.",Medium,No Cloud,Northern pintail,N,51336,11000.0,0,No
304754,Airplane,HENRY E ROHLSEN ARPT,< 1000 ft,DC-8,1,1,Other,2010-08-29,Caused damage,4,GOVERNMENT,Virgin Islands,Taxi,,True,False,"AFTER A/C BEGAN TAXIING DOWN TWY A, CREW MEMBERS REPTD SEEING A CATTLE EGRET FROM A FLOCK OF 10 BIRDS BEING INGESTED INTO #4 ENG. A/C RETD TO APRON AREA WHERE CARCASS WAS REMOVED FROM THE ENG. IT WAS CLEANED AND CHECKED. A/C LEFT AROUND 2 HRS LATER W/O IN",Small,Some Cloud,Cattle egret,N,0,0.0,0,No
305961,Airplane,DETROIT METRO WAYNE COUNTY ARPT,< 1000 ft,A-320,1,1,Precautionary Landing,2010-08-29,Caused damage,2,DELTA AIR LINES,Michigan,Take-off run,,True,False,NO REMAINS FOUND ON RWY AFTER REPTD STRIKE. A/C RETURNED TO KDTW AND INSPN FOUND REMAINS OF A SANDPIPER IN RT ENG INNER INTAKE. CAPT STATED ENG WOULD BE TAKEN APRT FOR INSPN. NO EST ON COST OF REPAIRS. DAL MX REPTD THAT TWO BLADES NEEDED TO BE REPLACED AT,Small,No Cloud,Sandpipers,Y,41068,0.0,0,No
306075,Airplane,SACRAMENTO INTL,< 1000 ft,A-320,1,1,Precautionary Landing,2010-09-01,Caused damage,2,UNITED AIRLINES,California,Climb,,True,True,ID BY SMITHSONIAN. FAA 4807. WHOLE FEATHER AND DNA. 2 SETS OF REMAINS ID'D. 1 FROM RWY AND 1 FROM ENG. STRUCK BIRD DURING ROTATION. BIRD WAS INGESTED. A/C RETD TO SMF. FOD ON RWY LEFT OF CENTERLINE BTWY INTXN TWY A5 & A8. SIGNIFICANT DMG TO 2 BLADES IN #1,Large,No Cloud,Great blue heron,Y,0,10.0,0,No
306085,Airplane,LAGUARDIA NY,> 1000 ft,A-320,1,1,Other,2010-09-03,No damage,2,JETBLUE AIRWAYS,New York,Approach,,True,True,"ID BY SMITHSONIAN. FAA 4862. & 4843. DNA. CAPT STATED, ""I SAW A LARGE WHITE BIRD IMPACT MY WINDSHIELD."" CERTIFIED AVTN MECH ADVISES NO DMG. CAPT TURNED CONTROLS OVER TO CO/P. ARPT CONFIRMS SNARGE WAS TAKEN FROM A LARGE SPLAT ON THE WINDSHLD. SMITHSONIAN R",Small,No Cloud,Veery,Y,0,3000.0,0,No
306198,Airplane,HARRISON COUNTY ARPT,< 1000 ft,C-172,1,1,Precautionary Landing,2010-09-06,No damage,1,BUSINESS,Texas,Climb,,True,False,STRIKE RIGHT AFTER ROTATION. NO DMG.,Large,No Cloud,Coyote,N,0,1.0,0,No
307071,Airplane,USAF ACADEMY BULLSEYE AUX AIRSTRIP,< 1000 ft,DA-20 FALCON,1,1,Aborted Take-off,2010-09-09,No damage,2,BUSINESS,Colorado,Take-off run,,False,False,NO DMG.,Small,No Cloud,Horned lark,Y,0,0.0,0,No
306146,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,> 1000 ft,CL-RJ700,1,1,Precautionary Landing,2010-09-12,No damage,2,PSA AIRLINES,North Carolina,Climb,,False,False,NO DMG REPTD.,Large,No Cloud,Unknown bird - large,N,0,6000.0,0,No
306151,Airplane,LORAIN COUNTY REGIONAL ARPT,< 1000 ft,C-206 STATIO,1,1,Precautionary Landing,2010-09-13,Caused damage,1,BUSINESS,Ohio,Climb,,True,False,"ID BY ARPT STAFF. HAWK IS RARE OF THIS LOCATION. HAWK HAD DEPTD RWY AFTER CATCHING PREY. AT T/O ROLL/ROTATION BEGAN, HAWK DROPPED PREY AND CAME BACK TO GET IT. STRIKE OCCURRED AT THIS TIME. WE CONTD T/O AND CAME BACK AROUND FOR PREC LDG TO INSPECT FOR DMG",Medium,No Cloud,Swainson's hawk,N,513,40.0,0,No
307150,Airplane,PUEBLO MEMORIAL ARPT,< 1000 ft,DA-20 FALCON,1,1,Precautionary Landing,2010-09-14,No damage,2,BUSINESS,Colorado,Approach,,True,True,ID BY SMITHSONIAN.,Small,No Cloud,American kestrel,Y,0,800.0,0,No
307175,Airplane,NORTH CENTRAL WEST VIRGINIA ARPT,< 1000 ft,C-172,1,1,Aborted Take-off,2010-09-15,No damage,1,BUSINESS,West Virginia,Take-off run,,False,False,SMALL GROUNDHOG. NO DMG NOTED.,Large,No Cloud,Woodchuck,N,0,0.0,0,No
306185,Airplane,BUFFALO-NIAGARA INTL,< 1000 ft,B-737-300,1,1,Other,2010-09-18,No damage,2,SOUTHWEST AIRLINES,New York,Approach,,True,False,NO DMG. PLANE AT GATE FOR INSPN. DELAYED 30-40 MINUTES.,Small,No Cloud,European starling,Y,0,100.0,0,Yes
306809,Airplane,MCNARY FLD ARPT,< 1000 ft,MOONEY M20,1,1,Precautionary Landing,2010-09-19,No damage,1,PRIVATELY OWNED,Oregon,Climb,,True,False,TIRE. SALEM ARPT MGR TOOK BIRD. CONFIRMED ID BY PHOTO.,Medium,Overcast,Red-tailed hawk,N,0,5.0,0,No
306812,Airplane,OXNARD ARPT,< 1000 ft,C-172,1,1,Precautionary Landing,2010-09-19,No damage,1,PRIVATELY OWNED,California,Climb,,True,True,ID BY SMITHSONIAN. FAA 4938. WHOLE FEATHER. DNA. LOCATION REPTD AS ABOUT 0.5 MILES FROM DEPT END OF RWY 25.,Small,No Cloud,House finch,N,0,700.0,0,No
306219,Airplane,PETERSBURG JAMES A JOHNSON ARPT,< 1000 ft,B-737-400,1,1,Other,2010-09-23,No damage,2,ALASKA AIRLINES,Alaska,Approach,Rain,True,False," ON SHORT FINAL, SML FLOCK OF BIRD (6 TO 10 TERNS?) FLEW UNDER A/C AT ABOUT 100' AGL. NO IMPACTS NOTED. DURING WALK AROUND FOUND STRIKE ON L MAIN GEAR TRUCK. 1 WING TANGLED IN THE BRAKE LINES. REST OF BIRD WAS FOUND ON RWY BY DOT. MX CAME FROM WRANGELL TO",Small,Overcast,Unknown bird - small,N,0,100.0,0,Yes
306216,Airplane,NORFOLK INTL,< 1000 ft,B-737-300,1,1,Precautionary Landing,2010-09-23,No damage,2,US AIRWAYS,Virginia,Climb,,True,True,ID BY SMITHSONIAN. NO WILDLIFE REMAINS IN SAMPLE. PILOT REPTD INGESTING A SML BIRD INTO #2 ENG. PREC LDG MADE. REMAINS WERE GATHERED AND WILL BE SENT FOR SPECIES ID. NO DMG.,Small,No Cloud,Unknown bird - small,N,0,300.0,0,Yes
307318,Airplane,FLYING CLOUD ARPT,> 1000 ft,C-172,1,1,Precautionary Landing,2010-09-26,Caused damage,1,BUSINESS,Minnesota,Descent,,True,True,ID BY SMITHSONIAN. ID BY PHOTO. WINDSHIELD AND INTERIOR DMG.,Medium,No Cloud,Broad-winged hawk,N,5134,3000.0,0,No
306227,Airplane,DELAND MUNICIPAL ARPT,< 1000 ft,C-172,1,1,Precautionary Landing,2010-09-27,No damage,1,BUSINESS,Florida,Climb,,False,False,"ATIS WARNING. A/C HIT BIRD JUST AFTER T/O WITH RT WING, FLAP & HORIZONTAL STABILIZER. PILOT REPTD NO DMG.",Medium,No Cloud,"Pigeons, doves",Y,0,75.0,0,No
306316,Airplane,HOUSTON-HOBBY,< 1000 ft,GULFAERO III,1,1,Engine Shut Down,2010-09-27,No damage,2,BUSINESS,Texas,Climb,,False,False,PILOTS REPTD INGESTING A BIRD IN RT ENG DURING DEPTR. ENG SHUT DOWN BUT RESTARTED. A/C RETURNED TO LAND W/O INCIDENT. ENG INSPECTED. NO VIABLE REMAINS FOUND.,Small,Some Cloud,Unknown bird - small,Y,2875,1000.0,0,No
